Year,State,18-44 percentage,45-64 percentage,65-74 percentage,75+ percentage
2008.0,South Carolina,2.9,15.0,21.5,19.4
2008.0,South Dakota,1.6,8.6,15.4,15.5
2008.0,Tennessee,4.8,13.2,21.9,18.9
2008.0,Texas,3.4,14.6,24.0,21.1
2008.0,Utah,2.1,8.4,22.4,15.4
2008.0,Vermont,1.7,7.6,15.4,16.6
2008.0,Virginia,2.5,11.2,18.2,17.6
2008.0,Washington,2.4,9.1,16.4,16.3
2008.0,West Virginia,4.8,14.7,23.2,22.4
2008.0,Wisconsin,2.6,8.1,16.7,19.6
2008.0,Wyoming,2.6,9.4,17.3,16.0
2008.0,Guam,3.4,14.3,20.6,
2008.0,Puerto Rico,3.0,17.9,32.1,30.0
2008.0,Virgin Islands of the U.S.,3.9,13.7,27.2,23.1
2009.0,Alabama,3.8,17.0,23.6,21.3
2009.0,Alaska,1.8,8.3,19.7,15.9
2009.0,Arizona,2.9,12.4,18.5,15.6
2009.0,Arkansas,3.7,14.0,20.4,18.5
2009.0,California,2.8,14.1,22.0,18.8
2009.0,Colorado,2.0,7.7,14.5,15.3
2009.0,Connecticut,1.4,8.5,15.6,16.7
2009.0,Delaware,2.7,11.0,16.3,16.6
2009.0,District of Columbia,2.1,11.0,20.7,20.4
2009.0,Florida,4.4,12.4,23.0,18.9
2009.0,Georgia,3.0,13.3,26.3,24.3
2009.0,Hawaii,2.8,11.0,19.0,17.5
2009.0,Idaho,2.5,10.8,18.3,19.7
2009.0,Illinois,3.4,10.2,17.6,18.8
2009.0,Indiana,2.0,13.5,24.2,20.1
